设备ID,设备类型,时间戳,温度(℃),压力(MPa),振动(m/s²),流量(m³/h),产量(件),合格率(%),故障标记,故障类型
EQ004,风机,2026-03-18 15:26:42,69.48,5.94,1.63,78.89,820.97,97.2,0,无
EQ004,风机,2026-03-18 16:26:42,46.65,5.88,0.563,98.06,801.74,99.12,0,无
EQ004,风机,2026-03-18 17:26:42,49.45,6.55,1.029,112.35,778.41,96.67,0,无
EQ004,风机,2026-03-18 18:26:42,51.48,5.22,1.143,117.72,771.75,98.63,0,无
EQ004,风机,2026-03-18 19:26:42,49.34,6.11,1.201,82.62,789.81,98.72,0,无
EQ004,风机,2026-03-18 20:26:42,39.46,6.8,,108.6,779.36,96.28,0,无
EQ004,风机,2026-03-18 21:26:42,63.74,5.95,1.01,113.05,838.1,99.92,0,无
EQ004,风机,2026-03-18 22:26:42,61.08,5.59,0.943,104.99,850.79,96.53,0,无
EQ004,风机,2026-03-18 23:26:42,60.06,6.97,0.928,111.17,824.66,98.96,0,无
EQ004,风机,2026-03-19 00:26:42,54.33,5.52,1.006,81.61,786.51,98.25,0,无
EQ004,风机,2026-03-19 01:26:42,72.49,6.24,1.188,113.97,751.77,97.83,0,无
EQ004,风机,2026-03-19 02:26:42,76.98,5.95,1.335,111.56,726.09,98.31,0,无
EQ004,风机,2026-03-19 03:26:42,61.03,6.2,0.774,86.6,776.2,97.9,0,无
EQ004,风机,2026-03-19 04:26:42,68.29,7.09,1.419,110.32,749.78,97.59,0,无
EQ004,风机,2026-03-19 05:26:42,61.47,5.62,1.173,108.65,826.81,99.03,0,无
EQ004,风机,2026-03-19 06:26:42,53.67,6.56,0.791,88.71,826.61,99.22,0,无
EQ004,风机,2026-03-19 07:26:42,63.42,6.01,1.093,101.64,743.7,96.76,0,无
EQ004,风机,2026-03-19 08:26:42,59.45,6.05,1.003,108.11,789.23,98.56,0,无
EQ004,风机,2026-03-19 09:26:42,58.99,7.09,1.024,128.09,817.6,97.79,0,无
EQ004,风机,2026-03-19 10:26:42,53.7,5.13,0.703,89.44,819.74,97.47,0,无
EQ004,风机,2026-03-19 11:26:42,61.31,6.77,0.974,124.95,741.21,97.85,0,无
EQ004,风机,2026-03-19 12:26:42,56.22,6.56,0.328,82.68,794.63,99.55,0,无
EQ004,风机,2026-03-19 13:26:42,61.58,5.19,0.641,120.08,768.94,97.06,0,无
EQ004,风机,2026-03-19 14:26:42,70.34,6.61,1.382,88.6,723.74,98.13,0,无
EQ004,风机,2026-03-19 15:26:42,62.35,6.22,1.443,79.19,842.98,96.9,0,无
EQ004,风机,2026-03-19 16:26:42,65.99,5.72,0.756,92.68,727.72,98.04,0,无
EQ004,风机,2026-03-19 17:26:42,54.59,6.47,1.192,120.26,818.32,98.52,0,无
EQ004,风机,2026-03-19 18:26:42,69.8,5.62,0.554,102.4,728.87,100.45,0,无
EQ004,风机,2026-03-19 19:26:42,70.19,7.3,1.019,106.61,777.03,98.88,0,无
EQ004,风机,2026-03-19 20:26:42,51.49,4.47,0.763,82.53,873.9,99.82,0,无
EQ004,风机,2026-03-19 21:26:42,50.18,6.78,1.285,81.16,780.49,97.42,0,无
EQ004,风机,2026-03-19 22:26:42,65.24,5.26,0.97,91.77,823.67,97.78,0,无
EQ004,风机,2026-03-19 23:26:42,56.25,5.87,1.611,95.0,747.95,98.58,0,无
EQ004,风机,2026-03-20 00:26:42,59.0,5.15,1.669,95.77,781.11,98.16,0,无
EQ004,风机,2026-03-20 01:26:42,72.11,4.99,1.083,125.05,806.44,96.76,0,无
EQ004,风机,2026-03-20 02:26:42,55.67,6.12,1.399,95.93,841.33,96.56,0,无
EQ004,风机,2026-03-20 03:26:42,49.89,5.71,1.431,100.83,814.49,98.28,0,无
EQ004,风机,2026-03-20 04:26:42,67.76,5.63,1.206,90.03,899.16,97.2,0,无
EQ004,风机,2026-03-20 05:26:42,53.82,6.33,1.024,103.92,811.37,96.91,0,无
EQ004,风机,2026-03-20 06:26:42,71.29,6.54,1.408,93.66,820.83,98.2,0,无
EQ004,风机,2026-03-20 07:26:42,67.9,6.7,1.058,81.78,888.98,98.56,0,无
EQ004,风机,2026-03-20 08:26:42,55.74,6.24,0.547,112.66,726.44,97.78,0,无
EQ004,风机,2026-03-20 09:26:42,61.71,6.62,1.032,107.62,798.59,97.97,0,无
EQ004,风机,2026-03-20 10:26:42,60.6,5.89,0.494,90.78,812.24,97.75,0,无
EQ004,风机,2026-03-20 11:26:42,58.91,5.81,0.741,94.08,784.66,98.01,0,无
EQ004,风机,2026-03-20 12:26:42,62.75,5.89,0.691,83.22,929.87,96.87,0,无
EQ004,风机,2026-03-20 13:26:42,56.37,6.31,1.108,106.25,777.86,98.24,0,无
EQ004,风机,2026-03-20 14:26:42,60.43,2.91,1.074,112.66,798.89,97.98,0,无
EQ004,风机,2026-03-20 15:26:42,67.48,6.58,1.475,78.93,845.26,98.6,0,无
EQ004,风机,2026-03-20 16:26:42,53.8,6.15,1.315,90.05,822.13,98.87,0,无
EQ004,风机,2026-03-20 17:26:42,52.5,5.91,1.09,90.45,756.04,97.86,0,无
EQ004,风机,2026-03-20 18:26:42,65.61,6.39,0.742,107.83,758.2,96.39,0,无
EQ004,风机,2026-03-20 19:26:42,57.43,6.67,1.197,99.98,779.16,97.61,0,无
EQ004,风机,2026-03-20 20:26:42,60.76,5.36,0.896,97.41,732.45,97.16,0,无
EQ004,风机,2026-03-20 21:26:42,62.87,6.01,0.907,89.06,878.84,97.16,0,无
EQ004,风机,2026-03-20 22:26:42,61.76,5.71,1.011,105.49,731.49,97.99,0,无
EQ004,风机,2026-03-20 23:26:42,68.34,7.06,0.961,100.5,910.57,99.13,0,无
EQ004,风机,2026-03-21 00:26:42,55.68,5.63,1.287,87.87,854.39,98.33,0,无
EQ004,风机,2026-03-21 01:26:42,63.62,5.85,0.811,117.54,787.66,97.59,0,无
EQ004,风机,2026-03-21 02:26:42,59.44,6.12,0.691,93.22,769.1,98.85,0,无
EQ004,风机,2026-03-21 03:26:42,53.8,4.95,0.41,82.36,868.08,98.02,0,无
EQ004,风机,2026-03-21 04:26:42,63.51,6.32,1.017,99.1,852.23,98.15,0,无
EQ004,风机,2026-03-21 05:26:42,69.79,6.37,0.815,94.03,763.63,99.22,0,无
EQ004,风机,2026-03-21 06:26:42,57.16,5.52,1.096,98.83,814.73,99.89,0,无
EQ004,风机,2026-03-21 07:26:42,66.39,6.02,0.577,94.0,835.55,96.83,0,无
EQ004,风机,2026-03-21 08:26:42,74.99,6.01,1.015,92.0,824.84,96.84,0,无
EQ004,风机,2026-03-21 09:26:42,75.15,6.79,1.295,83.31,810.27,99.21,0,无
EQ004,风机,2026-03-21 10:26:42,64.15,5.4,0.805,94.58,769.83,99.53,0,无
EQ004,风机,2026-03-21 11:26:42,46.55,6.39,0.612,88.46,699.51,97.45,0,无
EQ004,风机,2026-03-21 12:26:42,70.58,6.16,0.64,112.21,861.57,98.1,0,无
EQ004,风机,2026-03-21 13:26:42,74.24,6.49,1.205,90.36,831.37,98.22,0,无
EQ004,风机,2026-03-21 14:26:42,63.64,5.59,1.038,90.2,692.64,99.0,0,无
EQ004,风机,2026-03-21 15:26:42,49.48,6.06,1.1,103.92,785.85,98.27,0,无
EQ004,风机,2026-03-21 16:26:42,63.3,6.44,1.52,102.81,803.2,97.09,0,无
EQ004,风机,2026-03-21 17:26:42,63.05,6.4,0.942,106.54,785.37,98.67,0,无
EQ004,风机,2026-03-21 18:26:42,66.39,6.54,1.035,87.52,769.4,98.6,0,无
EQ004,风机,2026-03-21 19:26:42,77.14,5.8,1.137,93.33,751.3,97.32,0,无
EQ004,风机,2026-03-21 20:26:42,45.42,6.81,0.331,96.83,741.09,97.12,0,无
EQ004,风机,2026-03-21 21:26:42,69.64,6.12,0.71,92.93,761.73,97.96,0,无
EQ004,风机,2026-03-21 22:26:42,61.21,7.14,0.425,99.58,784.22,98.95,0,无
EQ004,风机,2026-03-21 23:26:42,62.48,6.35,1.104,88.82,860.56,98.8,0,无
EQ004,风机,2026-03-22 00:26:42,66.41,6.76,1.125,117.77,818.88,97.78,0,无
EQ004,风机,2026-03-22 01:26:42,59.95,5.99,0.844,119.58,814.81,98.09,0,无
EQ004,风机,2026-03-22 02:26:42,62.72,7.79,0.66,89.86,730.97,97.77,0,无
EQ004,风机,2026-03-22 03:26:42,61.72,5.72,0.838,101.71,774.89,98.31,0,无
EQ004,风机,2026-03-22 04:26:42,67.8,6.41,1.264,113.03,814.14,97.84,0,无
EQ004,风机,2026-03-22 05:26:42,54.59,2.88,0.843,108.78,817.34,98.7,0,无
EQ004,风机,2026-03-22 06:26:42,51.88,6.86,0.872,86.8,778.04,100.48,0,无
EQ004,风机,2026-03-22 07:26:42,57.29,5.8,0.942,98.22,760.93,98.14,0,无
EQ004,风机,2026-03-22 08:26:42,67.53,6.19,0.667,95.87,772.42,98.05,0,无
EQ004,风机,2026-03-22 09:26:42,69.31,5.91,0.974,121.33,843.81,98.57,0,无
EQ004,风机,2026-03-22 10:26:42,73.71,6.29,0.404,109.99,720.4,98.45,0,无
EQ004,风机,2026-03-22 11:26:42,48.0,5.72,0.891,90.76,782.56,99.03,0,无
EQ004,风机,2026-03-22 12:26:42,55.0,6.33,0.71,97.73,816.19,97.0,0,无
EQ004,风机,2026-03-22 13:26:42,50.82,6.3,1.337,99.05,777.13,98.16,0,无
EQ004,风机,2026-03-22 14:26:42,60.39,6.15,0.242,87.17,757.74,98.15,0,无
EQ004,风机,2026-03-22 15:26:42,61.3,6.38,1.077,84.39,872.35,99.27,0,无
EQ004,风机,2026-03-22 16:26:42,51.19,6.2,0.821,101.67,852.67,100.13,0,无
EQ004,风机,2026-03-22 17:26:42,65.26,6.18,0.898,102.19,867.99,97.96,0,无
EQ004,风机,2026-03-22 18:26:42,53.8,5.03,1.154,102.97,767.7,99.03,0,无
EQ004,风机,2026-03-22 19:26:42,57.05,5.92,0.995,95.79,811.79,99.15,0,无
EQ004,风机,2026-03-22 20:26:42,52.0,6.29,1.052,101.85,843.59,98.05,0,无
EQ004,风机,2026-03-22 21:26:42,63.36,6.43,0.849,103.59,787.46,97.87,0,无
EQ004,风机,2026-03-22 22:26:42,57.75,6.28,1.024,104.73,799.12,96.4,0,无
EQ004,风机,2026-03-22 23:26:42,60.22,6.04,1.073,92.88,740.23,98.62,0,无
EQ004,风机,2026-03-23 00:26:42,58.08,6.1,0.916,99.93,777.54,97.03,0,无
EQ004,风机,2026-03-23 01:26:42,63.32,5.64,1.049,104.93,770.66,96.8,0,无
EQ004,风机,2026-03-23 02:26:42,76.98,5.68,1.187,123.27,839.5,97.7,0,无
EQ004,风机,2026-03-23 03:26:42,59.53,5.5,1.265,106.8,774.28,96.96,0,无
EQ004,风机,2026-03-23 04:26:42,50.75,6.59,1.036,102.58,758.85,96.54,0,无
EQ004,风机,2026-03-23 05:26:42,66.74,6.03,1.272,95.37,788.16,98.71,0,无
EQ004,风机,2026-03-23 06:26:42,65.13,6.48,0.911,107.37,855.45,97.9,0,无
EQ004,风机,2026-03-23 07:26:42,56.41,6.81,0.804,107.55,797.08,96.16,0,无
EQ004,风机,2026-03-23 08:26:42,67.9,4.35,0.405,106.33,826.35,97.36,0,无
EQ004,风机,2026-03-23 09:26:42,61.03,4.48,1.212,103.0,797.72,98.02,0,无
EQ004,风机,2026-03-23 10:26:42,63.45,5.98,0.438,126.36,860.04,96.72,1,振动过大
EQ004,风机,2026-03-23 11:26:42,57.58,5.86,1.324,74.09,775.05,96.24,0,无
EQ004,风机,2026-03-23 12:26:42,58.0,5.72,1.024,92.74,762.45,98.62,0,无
EQ004,风机,2026-03-23 13:26:42,63.18,6.33,0.947,93.14,794.06,98.5,0,无
EQ004,风机,2026-03-23 14:26:42,44.76,6.24,1.093,100.75,792.53,95.43,0,无
EQ004,风机,2026-03-23 15:26:42,56.92,7.07,1.004,96.31,800.85,98.35,0,无
EQ004,风机,2026-03-23 16:26:42,64.61,5.86,1.127,120.12,850.31,100.34,0,无
EQ004,风机,2026-03-23 17:26:42,55.4,7.01,0.763,104.24,836.62,97.49,0,无
EQ004,风机,2026-03-23 18:26:42,60.62,6.55,0.787,120.03,730.77,99.94,0,无
EQ004,风机,2026-03-23 19:26:42,67.01,5.95,0.879,93.92,793.21,97.95,0,无
EQ004,风机,2026-03-23 20:26:42,68.79,7.18,1.06,89.85,772.71,97.82,0,无
EQ004,风机,2026-03-23 21:26:42,52.79,5.29,1.629,103.63,758.34,98.82,0,无
EQ004,风机,2026-03-23 22:26:42,51.75,5.34,0.759,119.85,787.36,95.56,0,无
EQ004,风机,2026-03-23 23:26:42,68.47,5.82,0.445,96.2,826.05,98.4,0,无
EQ004,风机,2026-03-24 00:26:42,72.59,5.49,1.014,91.61,722.89,98.89,0,无
EQ004,风机,2026-03-24 01:26:42,63.24,6.17,1.128,91.77,749.72,98.04,0,无
EQ004,风机,2026-03-24 02:26:42,68.13,6.96,1.239,100.35,813.49,98.01,0,无
EQ004,风机,2026-03-24 03:26:42,52.82,6.01,0.6,98.51,881.81,98.82,0,无
EQ004,风机,2026-03-24 04:26:42,53.54,5.96,0.75,99.25,852.06,98.65,0,无
EQ004,风机,2026-03-24 05:26:42,77.39,6.72,1.061,108.13,789.88,96.87,0,无
EQ004,风机,2026-03-24 06:26:42,69.14,6.61,0.928,103.29,862.05,98.85,0,无
EQ004,风机,2026-03-24 07:26:42,74.64,6.15,0.95,113.36,851.55,99.32,0,无
EQ004,风机,2026-03-24 08:26:42,52.17,2.76,1.334,92.9,723.93,98.53,0,无
EQ004,风机,2026-03-24 09:26:42,56.17,7.07,1.089,101.92,781.54,99.59,0,无
EQ004,风机,2026-03-24 10:26:42,62.51,5.75,0.762,99.12,751.12,99.03,0,无
EQ004,风机,2026-03-24 11:26:42,47.34,5.92,1.183,104.11,764.14,98.66,0,无
EQ004,风机,2026-03-24 12:26:42,53.8,5.99,1.196,105.55,766.25,99.2,0,无
EQ004,风机,2026-03-24 13:26:42,60.61,6.45,1.459,113.41,856.01,98.19,0,无
EQ004,风机,2026-03-24 14:26:42,65.56,6.13,0.637,103.63,812.82,98.58,0,无
EQ004,风机,2026-03-24 15:26:42,59.1,5.54,1.197,84.24,872.94,97.77,0,无
EQ005,离心泵,2026-02-22 16:26:42,66.23,8.28,1.377,105.91,841.2,98.3,0,无
EQ005,离心泵,2026-02-22 17:26:42,61.82,7.63,1.1,107.01,886.11,99.49,0,无
EQ005,离心泵,2026-02-22 18:26:42,100.89,7.89,1.141,127.58,887.89,97.43,0,无
EQ005,离心泵,2026-02-22 19:26:42,59.41,8.77,0.664,109.91,787.66,96.44,0,无
EQ005,离心泵,2026-02-22 20:26:42,70.56,8.43,1.028,132.8,872.46,97.89,0,无
EQ005,离心泵,2026-02-22 21:26:42,62.75,9.13,1.416,122.56,868.18,98.3,0,无
EQ005,离心泵,2026-02-22 22:26:42,62.47,8.04,1.512,100.08,785.6,99.38,0,无
EQ005,离心泵,2026-02-22 23:26:42,62.44,8.77,1.624,119.34,771.57,97.71,0,无
EQ005,离心泵,2026-02-23 00:26:42,78.32,8.94,1.238,113.92,805.85,98.24,0,无
EQ005,离心泵,2026-02-23 01:26:42,58.78,8.04,1.597,102.01,841.33,99.37,0,无
EQ005,离心泵,2026-02-23 02:26:42,62.2,8.85,0.993,124.41,784.66,97.69,0,无
EQ005,离心泵,2026-02-23 03:26:42,61.91,8.35,1.455,119.36,732.0,98.4,0,无
EQ005,离心泵,2026-02-23 04:26:42,67.11,7.89,1.76,104.36,689.14,97.27,0,无
EQ005,离心泵,2026-02-23 05:26:42,68.55,7.47,0.906,129.51,823.13,98.38,0,无
EQ005,离心泵,2026-02-23 06:26:42,68.91,7.79,1.086,128.1,732.76,95.86,0,无
EQ005,离心泵,2026-02-23 07:26:42,62.83,8.47,1.277,128.57,699.19,98.32,0,无
EQ005,离心泵,2026-02-23 08:26:42,68.27,7.32,1.459,118.88,953.57,95.82,0,无
EQ005,离心泵,2026-02-23 09:26:42,71.85,7.8,0.715,114.73,813.87,99.04,0,无
EQ005,离心泵,2026-02-23 10:26:42,73.61,8.71,0.91,131.3,819.56,97.35,0,无
EQ005,离心泵,2026-02-23 11:26:42,63.94,7.65,1.211,112.7,748.6,98.48,0,无
EQ005,离心泵,2026-02-23 12:26:42,68.14,7.91,1.61,117.4,784.86,98.66,0,无
EQ005,离心泵,2026-02-23 13:26:42,64.34,8.04,0.444,120.17,708.64,96.78,0,无
EQ005,离心泵,2026-02-23 14:26:42,58.32,7.48,1.035,115.14,833.21,98.22,0,无
EQ005,离心泵,2026-02-23 15:26:42,55.49,8.04,1.295,116.71,796.96,98.19,0,无
EQ005,离心泵,2026-02-23 16:26:42,68.82,7.21,1.127,135.08,870.83,98.85,0,无
EQ005,离心泵,2026-02-23 17:26:42,67.68,8.83,1.775,118.71,751.53,97.73,0,无
EQ005,离心泵,2026-02-23 18:26:42,80.48,7.22,1.059,105.87,806.24,96.8,0,无
EQ005,离心泵,2026-02-23 19:26:42,64.46,7.02,1.385,132.22,780.8,97.86,0,无
EQ005,离心泵,2026-02-23 20:26:42,64.18,8.09,1.189,127.68,861.65,97.19,0,无
EQ005,离心泵,2026-02-23 21:26:42,63.45,8.45,0.773,100.29,811.32,98.5,0,无
EQ005,离心泵,2026-02-23 22:26:42,61.39,7.71,0.972,111.33,834.67,96.82,0,无
EQ005,离心泵,2026-02-23 23:26:42,63.67,7.55,0.763,128.7,774.01,98.19,0,无
EQ005,离心泵,2026-02-24 00:26:42,57.46,7.63,1.427,145.87,701.19,97.8,0,无
EQ005,离心泵,2026-02-24 01:26:42,67.06,7.69,1.455,111.33,807.69,97.48,0,无
EQ005,离心泵,2026-02-24 02:26:42,71.1,7.66,1.094,129.46,748.6,98.07,0,无
EQ005,离心泵,2026-02-24 03:26:42,55.89,7.46,1.315,110.09,772.77,98.49,0,无
EQ005,离心泵,2026-02-24 04:26:42,62.1,8.41,1.265,124.36,862.05,98.32,0,无
EQ005,离心泵,2026-02-24 05:26:42,72.69,8.46,1.043,132.93,813.19,97.61,0,无
EQ005,离心泵,2026-02-24 06:26:42,66.39,8.56,1.337,138.22,854.33,98.52,0,无
EQ005,离心泵,2026-02-24 07:26:42,59.87,3.96,1.221,126.97,831.87,98.17,0,无
EQ005,离心泵,2026-02-24 08:26:42,65.6,8.36,0.942,136.96,697.64,99.46,0,无
EQ005,离心泵,2026-02-24 09:26:42,64.77,8.5,1.309,123.46,827.71,98.81,0,无
EQ005,离心泵,2026-02-24 10:26:42,63.36,8.52,0.875,119.95,841.8,99.0,0,无
EQ005,离心泵,2026-02-24 11:26:42,67.3,7.8,1.469,113.31,887.57,97.92,0,无
EQ005,离心泵,2026-02-24 12:26:42,57.3,7.4,1.213,121.4,898.48,96.96,0,无
EQ005,离心泵,2026-02-24 13:26:42,65.2,7.47,1.052,136.84,743.18,98.59,0,无
EQ005,离心泵,2026-02-24 14:26:42,66.96,7.99,1.356,108.4,882.82,99.92,0,无
EQ005,离心泵,2026-02-24 15:26:42,65.24,9.21,1.08,124.0,871.59,97.54,0,无
EQ005,离心泵,2026-02-24 16:26:42,58.09,7.19,1.818,114.71,790.71,96.89,0,无
EQ005,离心泵,2026-02-24 17:26:42,69.74,7.61,1.053,123.0,746.8,97.82,0,无
EQ005,离心泵,2026-02-24 18:26:42,72.01,8.21,1.239,122.15,780.54,100.0,0,无
EQ005,离心泵,2026-02-24 19:26:42,60.94,8.11,1.235,130.09,855.16,97.97,0,无
EQ005,离心泵,2026-02-24 20:26:42,66.45,8.16,0.518,104.11,769.75,97.44,0,无
EQ005,离心泵,2026-02-24 21:26:42,59.0,8.37,1.201,117.85,737.19,97.96,0,无
EQ005,离心泵,2026-02-24 22:26:42,51.87,7.92,1.219,122.42,721.79,98.22,0,无
EQ005,离心泵,2026-02-24 23:26:42,59.79,7.59,1.415,140.14,802.57,97.18,0,无
EQ005,离心泵,2026-02-25 00:26:42,65.94,8.47,1.386,147.43,764.23,98.25,0,无
EQ005,离心泵,2026-02-25 01:26:42,72.74,8.74,0.615,119.97,874.23,100.89,0,无
EQ005,离心泵,2026-02-25 02:26:42,68.52,3.91,0.897,142.19,836.44,97.15,0,无
EQ005,离心泵,2026-02-25 03:26:42,63.98,8.16,1.363,111.0,769.29,96.35,0,无
EQ005,离心泵,2026-02-25 04:26:42,70.2,7.83,1.34,134.22,810.99,97.89,0,无
EQ005,离心泵,2026-02-25 05:26:42,65.97,8.03,1.574,123.11,772.78,99.05,0,无
EQ005,离心泵,2026-02-25 06:26:42,71.15,7.33,1.66,123.65,814.16,99.01,0,无
EQ005,离心泵,2026-02-25 07:26:42,62.17,8.48,1.087,105.25,750.11,98.57,0,无
EQ005,离心泵,2026-02-25 08:26:42,60.27,8.81,1.557,133.33,806.24,98.26,0,无
EQ005,离心泵,2026-02-25 09:26:42,59.03,8.5,1.314,125.67,884.42,97.39,0,无
EQ005,离心泵,2026-02-25 10:26:42,64.37,8.16,0.919,118.12,824.65,97.67,0,无
EQ005,离心泵,2026-02-25 11:26:42,71.54,7.24,1.537,126.61,771.56,97.08,0,无
EQ005,离心泵,2026-02-25 12:26:42,54.6,7.6,1.514,119.44,858.15,97.38,0,无
EQ005,离心泵,2026-02-25 13:26:42,68.54,7.64,0.91,118.93,766.75,96.46,0,无
EQ005,离心泵,2026-02-25 14:26:42,64.09,8.05,1.581,129.37,861.0,98.72,0,无
EQ005,离心泵,2026-02-25 15:26:42,66.66,7.39,1.245,125.97,872.87,98.69,0,无
EQ005,离心泵,2026-02-25 16:26:42,71.2,7.48,1.102,124.29,858.05,97.85,0,无
EQ005,离心泵,2026-02-25 17:26:42,64.59,8.34,0.862,136.07,756.04,96.08,0,无
EQ005,离心泵,2026-02-25 18:26:42,65.05,8.85,1.376,127.51,802.07,97.85,0,无
EQ005,离心泵,2026-02-25 19:26:42,57.28,6.87,1.259,133.13,817.21,98.62,0,无
EQ005,离心泵,2026-02-25 20:26:42,72.92,8.16,1.163,111.81,901.11,98.53,0,无
EQ005,离心泵,2026-02-25 21:26:42,60.28,7.41,1.576,109.63,892.69,95.24,0,无
EQ005,离心泵,2026-02-25 22:26:42,72.11,8.24,1.236,118.25,894.54,98.71,0,无
EQ005,离心泵,2026-02-25 23:26:42,60.48,3.57,1.253,119.99,724.01,97.94,0,无
EQ005,离心泵,2026-02-26 00:26:42,62.13,8.0,1.418,134.93,845.44,97.28,0,无
EQ005,离心泵,2026-02-26 01:26:42,66.84,8.03,0.8,123.98,892.83,98.03,0,无
EQ005,离心泵,2026-02-26 02:26:42,57.03,8.02,0.836,128.64,826.24,97.83,0,无
EQ005,离心泵,2026-02-26 03:26:42,63.34,7.89,1.202,112.28,730.61,99.14,0,无
EQ005,离心泵,2026-02-26 04:26:42,63.07,8.08,1.286,123.22,741.31,96.32,0,无
EQ005,离心泵,2026-02-26 05:26:42,62.06,8.2,0.982,116.45,906.36,96.15,0,无
EQ005,离心泵,2026-02-26 06:26:42,61.22,8.95,1.187,112.94,858.44,98.06,0,无
EQ005,离心泵,2026-02-26 07:26:42,63.26,8.1,1.003,109.83,794.32,96.99,0,无
EQ005,离心泵,2026-02-26 08:26:42,65.05,8.18,1.456,131.28,779.71,98.5,0,无
EQ005,离心泵,2026-02-26 09:26:42,67.46,8.16,1.056,109.72,825.1,96.29,0,无
EQ005,离心泵,2026-02-26 10:26:42,63.66,6.72,0.799,111.23,854.84,98.69,0,无
EQ005,离心泵,2026-02-26 11:26:42,62.23,8.36,1.466,118.39,730.78,97.79,0,无
EQ005,离心泵,2026-02-26 12:26:42,64.51,7.38,1.31,122.8,822.25,98.28,0,无
EQ005,离心泵,2026-02-26 13:26:42,68.65,7.91,1.261,116.02,770.78,99.34,0,无
EQ005,离心泵,2026-02-26 14:26:42,54.78,8.44,1.014,112.5,813.08,96.51,0,无
EQ005,离心泵,2026-02-26 15:26:42,60.92,7.58,1.134,111.96,880.06,99.8,0,无
EQ005,离心泵,2026-02-26 16:26:42,54.89,8.27,1.458,125.43,767.09,97.76,0,无
EQ005,离心泵,2026-02-26 17:26:42,61.26,7.79,0.837,118.85,724.86,97.8,0,无
EQ005,离心泵,2026-02-26 18:26:42,58.76,8.1,0.996,122.91,854.08,99.59,0,无
EQ005,离心泵,2026-02-26 19:26:42,52.36,7.58,1.109,124.6,717.48,97.02,0,无
EQ005,离心泵,2026-02-26 20:26:42,65.65,8.04,1.313,124.44,816.93,98.19,0,无
EQ005,离心泵,2026-02-26 21:26:42,65.28,8.33,0.528,135.44,689.78,96.92,0,无
EQ005,离心泵,2026-02-26 22:26:42,63.87,8.34,0.301,119.72,839.62,98.99,0,无
EQ005,离心泵,2026-02-26 23:26:42,61.51,7.85,1.015,116.07,748.41,97.11,0,无
EQ005,离心泵,2026-02-27 00:26:42,67.17,8.07,1.347,122.14,835.22,98.88,0,无
EQ005,离心泵,2026-02-27 01:26:42,56.29,7.57,1.131,119.77,766.5,98.91,0,无
EQ005,离心泵,2026-02-27 02:26:42,74.9,8.09,1.225,128.49,706.71,98.03,0,无
EQ005,离心泵,2026-02-27 03:26:42,69.9,7.68,0.832,118.14,796.97,97.09,0,无
EQ005,离心泵,2026-02-27 04:26:42,75.48,7.76,0.854,119.06,845.39,98.02,0,无
EQ005,离心泵,2026-02-27 05:26:42,67.43,7.56,1.646,125.62,852.39,98.37,0,无
EQ005,离心泵,2026-02-27 06:26:42,69.12,7.56,1.053,133.46,877.99,96.85,0,无
EQ005,离心泵,2026-02-27 07:26:42,66.25,7.78,0.991,122.85,857.05,98.45,0,无
EQ005,离心泵,2026-02-27 08:26:42,63.4,8.26,1.092,124.12,869.82,95.92,0,无
EQ005,离心泵,2026-02-27 09:26:42,68.99,7.23,1.568,113.63,739.12,98.7,0,无
EQ005,离心泵,2026-02-27 10:26:42,66.82,7.5,0.824,118.13,739.8,96.94,0,无
EQ005,离心泵,2026-02-27 11:26:42,65.58,7.52,1.328,134.9,792.57,98.13,0,无
EQ005,离心泵,2026-02-27 12:26:42,75.09,7.41,1.557,130.71,842.72,99.29,0,无
EQ005,离心泵,2026-02-27 13:26:42,66.4,7.71,1.528,131.33,855.27,98.04,0,无
EQ005,离心泵,2026-02-27 14:26:42,61.42,8.1,1.483,130.24,778.52,98.32,0,无
EQ005,离心泵,2026-02-27 15:26:42,58.46,8.49,0.965,127.85,742.53,99.03,0,无
EQ005,离心泵,2026-02-27 16:26:42,66.61,7.61,1.407,114.1,837.48,97.73,0,无
EQ005,离心泵,2026-02-27 17:26:42,56.39,7.51,1.071,133.68,845.06,99.62,0,无
EQ005,离心泵,2026-02-27 18:26:42,73.27,7.73,1.143,115.89,766.42,96.16,0,无
EQ005,离心泵,2026-02-27 19:26:42,64.93,7.36,1.19,141.16,774.53,98.19,0,无
EQ005,离心泵,2026-02-27 20:26:42,69.53,8.14,1.288,116.38,788.41,97.04,0,无
EQ005,离心泵,2026-02-27 21:26:42,69.23,7.13,1.491,105.96,848.13,97.65,0,无
EQ005,离心泵,2026-02-27 22:26:42,58.84,8.29,1.479,115.62,836.03,95.71,0,无
EQ005,离心泵,2026-02-27 23:26:42,58.4,8.65,1.133,101.38,765.06,97.08,0,无
EQ005,离心泵,2026-02-28 00:26:42,64.17,7.81,1.254,119.31,867.99,98.42,0,无
EQ005,离心泵,2026-02-28 01:26:42,67.29,8.58,1.083,107.38,860.35,98.14,0,无
EQ005,离心泵,2026-02-28 02:26:42,65.7,7.68,1.015,128.47,849.23,98.78,0,无
EQ005,离心泵,2026-02-28 03:26:42,68.96,8.28,1.239,118.25,860.52,97.63,0,无
EQ005,离心泵,2026-02-28 04:26:42,66.85,7.6,1.002,117.64,759.8,98.8,0,无
